,dimensions, bond type, name, void fraction [widom], supercell volume [A^3], density [kg/m^3], heat desorption high P [kJ/mol], heat desorption error high P [kJ/mol], absolute methane uptake high P [molec/unit cell], absolute methane uptake error high P [molec/unit cell], absolute methane uptake high P [mol/kg], absolute methane uptake error high P [mol/kg], excess methane uptake high P [molec/unit cell], excess methane uptake error high P [molec/unit cell], excess methane uptake high P [mol/kg], excess methane uptake error high P [mol/kg], heat desorption low P [kJ/mol], heat desorption error low P [kJ/mol], absolute methane uptake low P [molec/unit cell], absolute methane uptake error low P [molec/unit cell], absolute methane uptake low P [mol/kg], absolute methane uptake error low P [mol/kg], excess methane uptake low P [molec/unit cell], excess methane uptake error low P [molec/unit cell], excess methane uptake low P [mol/kg], excess methane uptake error low P [mol/kg], surface area [m^2/g], deliverable capacity [v STP/v], linkerA, linkerB, net, cell_a [A], cell_b [A], cell_c [A], alpha [deg], beta [deg], gamma [deg], chemical formula, num carbon, num fluorine, num hydrogen, num nitrogen, num oxygen, num sulfur, num silicon, vertices, edges, genus, largest included sphere diameter [A], largest free sphere diameter [A], largest included sphere along free sphere path diameter [A], absolute methane uptake high P [v STP/v], absolute methane uptake low P [v STP/v]
2108,3, amide, linker100_CO_linker102_NH_pts_relaxed,0.817438,44417.67511661999,415.531596661243,15.37081,0.960975,275.4566,1.8791562362,24.782340243,0.1690643434,209.9191510694,1.8791562362,18.886052559,0.1690643434,12.20344,0.684196,47.433,1.6841767128,4.267462623,0.1515223826,42.2509873959,1.6841767128,3.8012461682,0.1515223826,5427.78,190.738960359, linker100_CO, linker102_NH, pts,31.551,31.551,44.62,90.0,90.0,90.0, C688H416N64O96,688,0,416,64,96,0,0,2,1,5,10.07308,7.97171,10.07305,230.41608635349095,39.67712599415234
4354,3, amide, linker100_CO_linker11_NH_und_relaxed,0.906669,170638.87377923715,195.118975792334,9.04751,0.330018,627.5332,5.9342500655,31.2973979626,0.295962964,348.2751961148,5.9342500655,17.3697700987,0.295962964,8.06201,0.220708,63.2644,1.6992288133,3.1552292431,0.0847468156,41.1836123046,1.6992288133,2.0539788235,0.0847468156,6610.88,122.863673993, linker100_CO, linker11_NH, und,61.4395,61.4395,45.2046,90.0,90.0,90.0, C896H832N384O192,896,0,832,384,192,0,0,1,2,9,22.92872,19.80701,22.92872,136.63884039744053,13.775166404583194
4379,3, amide, linker100_CO_linker12_NH_und_relaxed,0.91138,169122.8742659388,199.343239939141,8.88384,0.333994,610.9794,3.2880127981,30.0934315229,0.1619491393,332.7642784324,3.2880127981,16.390109104,0.1619491393,7.89099,0.259978,61.1544,1.211447795,3.0121240564,0.0596691497,39.1560724767,1.211447795,1.9286093537,0.0596691497,6468.33,120.791832084, linker100_CO, linker12_NH, und,61.2571,61.2571,45.0702,90.0,90.0,90.0, C896H576N128O448,896,0,576,128,448,0,0,1,2,9,22.45295,20.51142,22.45295,134.22692873449577,13.435096650583016
4401,3, amide, linker100_CO_linker13_NH_qzd_relaxed,0.807619,36029.136388143175,342.169525828903,13.29172,0.485591,190.0804,1.7331601657,25.6030182361,0.2334492737,137.558640563,1.7331601657,18.528561508,0.2334492737,10.45917,0.340276,25.0376,1.1417639686,3.3724578094,0.1537907312,20.8847313145,1.1417639686,2.8130841302,0.1537907312,6776.1,170.199455782, linker100_CO, linker13_NH, qzd,30.2699,30.2699,45.4047,90.0,90.0,120.0, C432H408N48O72,432,0,408,48,72,0,0,1,2,4,10.1211,8.74311,10.09195,196.01933943706527,25.819883655195873
4402,3, amide, linker100_CO_linker13_NH_und_relaxed,0.890967,170057.23728679732,193.316441932858,9.13903,0.405562,625.6888,3.240921696,31.604103625,0.1637018676,352.2024693254,3.240921696,17.7900632672,0.1637018676,8.4118,0.447637,65.8592,2.3355196081,3.3266073829,0.1179691945,44.2347755567,2.3355196081,2.2343382693,0.1179691945,6880.61,122.314001503, linker100_CO, linker13_NH, und,61.3696,61.3696,45.1532,90.0,90.0,90.0, C1152H1088N128O192,1152,0,1088,128,192,0,0,1,2,9,21.93889,20.05851,21.93864,136.70320544674715,14.389203943297872
2221,3, amide, linker100_CO_linker14_NH_qtz_relaxed,0.930417,28990.375503973926,133.819970260421,7.86424,0.283131,87.0088,1.0132082905,37.2423792121,0.4336835743,38.3220971951,1.0132082905,16.4030083847,0.4336835743,6.93851,0.330191,8.301,0.1667860905,3.5530772731,0.0713894552,4.4513672831,0.1667860905,1.9053188685,0.0713894552,7670.44,100.874029423, linker100_CO, linker14_NH, qtz,30.8673,30.8673,35.1339,90.0,90.0,120.0, C132H102N12O30,132,0,102,12,30,0,0,1,1,4,20.25057,18.34605,20.17233,111.51281386726372,10.638784443784298
3037,3, amide, linker100_CO_linker14_NH_qtz_relaxed_interp_2,0.85559,28990.375503973926,267.639940520842,10.96151,0.226174,129.5544,1.0385509906,27.726586813,0.2222655055,84.7832317465,1.0385509906,18.1448845837,0.2222655055,9.74343,0.40309,15.5582,0.822507775,3.3296884008,0.1760290135,12.0181665996,0.822507775,2.5720681008,0.1760290135,6983.64,146.100590195, linker100_CO, linker14_NH, qtz,30.8673,30.8673,35.1339,90.0,90.0,120.0, C264H204N24O60,264,0,204,24,60,0,0,1,1,4,17.07834,16.21371,17.07834,166.04039698129992,19.939806786230324
3738,3, amide, linker100_CO_linker15_NH_sod_relaxed,0.958671,161253.8957385916,85.102412887961,6.97799,0.211407,416.4044,1.4096868305,50.3862722798,0.1705766425,137.3693931194,1.4096868305,16.622138586,0.1705766425,5.97216,0.251509,37.1354,0.8666012693,4.4935028919,0.1048615421,15.0722445639,0.8666012693,1.8237900907,0.1048615421,7767.89,87.3881544169, linker100_CO, linker15_NH, sod,54.4298,54.4298,54.4298,90.0,90.0,90.0, C480H336N72O72,480,0,336,72,72,0,0,1,1,7,49.32268,26.11271,49.32268,95.94459870710205,8.556444290191878
3933,3, amide, linker100_CO_linker15_NH_sod_relaxed_interp_2,0.913337,161253.8957385916,170.204825775923,8.88812,0.433159,558.7668,3.8404719293,33.8062903823,0.2323547305,292.9269069822,3.8404719293,17.7225491533,0.2323547305,8.75383,0.537903,61.611,1.3945281639,3.727564624,0.0843711975,40.5911754757,1.3945281639,2.4558314221,0.0843711975,7036.84,114.550695732, linker100_CO, linker15_NH, sod,54.4298,54.4298,54.4298,90.0,90.0,90.0, C960H672N144O144,960,0,672,144,144,0,0,1,1,7,23.26458,20.24763,22.67284,128.7466136210238,14.195917888843333
2222,3, amide, linker100_CO_linker16_NH_qtz_relaxed,0.929355,47954.12199758938,149.324733796226,8.29321,0.220369,159.311,4.8263808387,36.9434184638,1.1192134064,78.8683313041,4.8263808387,18.2891687762,1.1192134064,7.46314,0.19914,15.4204,0.557829508,3.5759130887,0.1293578532,9.0598392841,0.557829508,2.1009310963,0.1293578532,7548.67,111.486406216, linker100_CO, linker16_NH, qtz,33.9139,33.914,48.1436,89.998,89.998,120.0, C240H180N48O36,240,0,180,48,36,0,0,1,1,4,22.10169,21.70769,22.10169,123.43412885015384,11.947722633736644
3038,3, amide, linker100_CO_linker16_NH_qtz_relaxed_interp_2,0.85577,47954.12199758938,298.649467592452,11.81001,0.527251,239.982,3.0699443643,27.8253085154,0.3559523175,165.9086667852,3.0699443643,19.2366920797,0.3559523175,11.70903,0.445799,38.0652,1.3654633792,4.4135640744,0.15832204,32.2082593865,1.3654633792,3.7344665607,0.15832204,6919.12,156.445093611, linker100_CO, linker16_NH, qtz,33.9139,33.914,48.1436,89.998,89.998,120.0, C480H360N96O72,480,0,360,96,72,0,0,1,1,4,21.8925,21.60003,21.8925,185.93800245911973,29.492908848255137
2223,3, amide, linker100_CO_linker17_NH_qtz_relaxed,0.925902,29112.2477351626,153.784434078848,7.93058,0.336502,88.5368,1.6838139565,32.8386059709,0.6245324322,39.8826772152,1.6838139565,14.7926232045,0.6245324322,7.06416,0.280547,8.7988,0.2646095992,3.2635054149,0.0981446174,4.9517433686,0.2646095992,1.8366187772,0.0981446174,7044.28,101.766546449, linker100_CO, linker17_NH, qtz,30.912,30.912,35.1796,90.0,90.0,120.0, C120H78N36O42,120,0,78,36,42,0,0,1,1,4,21.55685,19.90086,21.55685,112.99611690304408,11.22957045443824
3039,3, amide, linker100_CO_linker17_NH_qtz_relaxed_interp_2,0.845017,29112.2477351626,307.568868157696,10.89842,0.278627,129.506,1.4329365652,24.017112121,0.2657405692,85.1022068628,1.4329365652,15.7823517364,0.2657405692,10.23837,0.447787,16.7886,0.4439326075,3.113474963,0.0823280714,13.2776147624,0.4439326075,2.4623566665,0.0823280714,5870.34,143.856887841, linker100_CO, linker17_NH, qtz,30.912,30.912,35.1796,90.0,90.0,120.0, C240H156N72O84,240,0,156,72,84,0,0,1,1,4,19.75894,18.53447,19.75894,165.28353312579154,21.426645284858104
2224,3, amide, linker100_CO_linker18_NH_qtz_relaxed,0.926989,29359.274775443075,152.490501790593,7.88602,0.277054,90.362,1.8442572489,33.5155789767,0.6840414054,41.2374267612,1.8442572489,15.2951045064,0.6840414054,7.14225,0.559863,8.7778,0.3269358347,3.2557164421,0.1212616342,4.8935450916,0.3269358347,1.8150328345,0.1212616342,7031.95,103.246698245, linker100_CO, linker18_NH, qtz,31.0013,31.0014,35.2739,90.0,90.0,120.0, C120H78N36O42,120,0,78,36,42,0,0,1,1,4,20.39116,19.43022,20.31564,114.35520783257178,11.10850958711156
3040,3, amide, linker100_CO_linker18_NH_qtz_relaxed_interp_2,0.846849,29359.274775443075,304.981003581186,10.80151,0.251063,129.1982,2.4963722158,23.9600300776,0.4629565534,84.3205415567,2.4963722158,15.6373905508,0.4629565534,10.29769,0.381032,17.2052,1.0630495003,3.1907341549,0.197144372,13.6567464747,1.0630495003,2.5326672995,0.197144372,6150.65,141.729740276, linker100_CO, linker18_NH, qtz,31.0013,31.0014,35.2739,90.0,90.0,120.0, C240H156N72O84,240,0,156,72,84,0,0,1,1,4,19.75452,18.42467,19.72755,163.50332011888756,21.773579843316266
4500,3, amide, linker100_CO_linker19_NH_und_relaxed,0.95506,177130.42424279507,98.795135712667,7.28475,0.284983,493.419,3.9385337373,46.8205113358,0.3737273261,188.0656384671,3.9385337373,17.8455417358,0.3737273261,6.26607,0.172386,43.8034,1.2846805673,4.1565030658,0.1219032933,19.6592657075,1.2846805673,1.8654670228,0.1219032933,7917.76,94.3112812305, linker100_CO, linker19_NH, und,78.3784,78.3784,28.8337,90.0,90.0,90.0, C640H416N64O96,640,0,416,64,96,0,0,1,2,9,33.44817,31.2278,33.10342,103.49947393596392,9.188192705503068
4524,3, amide, linker100_CO_linker19_NH_und_relaxed_interp_2,0.909023,177130.42424279507,197.590271425333,9.58597,0.298052,714.8894,6.0246675062,33.9179148518,0.2858402425,424.2550641879,6.0246675062,20.128773965,0.2858402425,8.59609,0.329108,75.957,1.8611321286,3.6037785123,0.0883013807,52.9766915513,1.8611321286,2.5134781872,0.0883013807,7451.93,134.022336555, linker100_CO, linker19_NH, und,78.3784,78.3784,28.8337,90.0,90.0,90.0, C1280H832N128O192,1280,0,832,128,192,0,0,1,2,9,20.67449,17.19836,20.61374,149.9550621730141,15.932725618038392
4012,3, amide, linker100_CO_linker1_NH_und_relaxed,0.925195,168796.90515356004,168.888541814087,8.73057,0.166832,601.0774,3.0795266129,35.0118244345,0.1793776394,319.1893644591,3.079526613,18.5922844376,0.1793776394,7.57908,0.23268,57.5018,1.1536054091,3.3493904883,0.0671957223,35.2130570453,1.1536054091,2.0511058494,0.0671957223,7041.7,119.649506207, linker100_CO, linker1_NH, und,61.2176,61.2176,45.0414,90.0,90.0,90.0, C896H640N192O192,896,0,640,192,192,0,0,1,2,9,22.55914,20.79449,22.55914,132.30655331495277,12.657047108238997
4035,3, amide, linker100_CO_linker1_NH_und_relaxed_interp_2,0.842413,168796.90515356004,337.777083628164,12.54813,0.283021,899.775,3.9477319057,26.205247719,0.1149746242,643.1089504816,3.9477319058,18.7300484651,0.1149746242,10.93923,0.522198,128.8568,1.4689949762,3.7528541739,0.0427833372,108.5623465943,1.4689949762,3.1617939879,0.0427833372,5998.88,169.691174431, linker100_CO, linker1_NH, und,61.2176,61.2176,45.0414,90.0,90.0,90.0, C1792H1280N384O384,1792,0,1280,384,384,0,0,1,2,9,15.3654,11.82962,15.1546,198.05457501659777,28.36340058606372
4559,3, amide, linker100_CO_linker21_NH_cds_relaxed,0.894781,57219.729918787576,178.967633022176,8.80302,0.467619,200.6046,3.7512435485,32.5289165383,0.6082806092,108.1898179762,3.7512435485,17.543453935,0.6082806092,7.84801,0.206523,19.6812,0.2973493568,3.1913929799,0.0482165036,12.3740103997,0.2973493568,2.0065001079,0.0482165036,7649.31,117.480117834, linker100_CO, linker21_NH, cds,38.5344,38.5344,38.5344,90.0,90.0,90.0, C384H336N32O48,384,0,336,32,48,0,0,1,2,3,18.99847,14.28646,18.99093,130.25983397442926,12.779716140236948
4563,3, amide, linker100_CO_linker21_NH_cds_relaxed_interp_2,0.783707,57219.729918787576,357.935266044354,13.40089,0.215233,297.747,2.0246872351,24.1404915753,0.1641559617,216.8041641826,2.0246872351,17.5778734931,0.1641559617,11.72526,0.464406,48.3198,0.8517261532,3.9176338463,0.0690555674,41.9196913253,0.8517261532,3.3987309873,0.0690555674,6944.1,161.962116824, linker100_CO, linker21_NH, cds,38.5344,38.5344,38.5344,90.0,90.0,90.0, C768H672N64O96,768,0,672,64,96,0,0,1,2,3,10.94734,8.50511,10.94732,193.33791341972812,31.37579659567198
2225,3, amide, linker100_CO_linker21_NH_qtz_relaxed,0.907051,47932.78640955936,160.231864128985,8.34986,0.32558,157.3434,3.0357788062,34.0185640572,0.6563531472,78.86624168,3.0357788062,17.0513430785,0.6563531472,7.49086,0.183158,15.6136,0.4000391981,3.375751711,0.0864908162,9.4084511853,0.4000391981,2.0341622167,0.0864908162,7709.0,109.86109787, linker100_CO, linker21_NH, qtz,33.9044,33.9045,48.1492,89.998,89.998,120.0, C288H252N24O36,288,0,252,24,36,0,0,1,1,4,21.21369,20.31828,21.21369,121.96389655952548,12.102798689526256
3041,3, amide, linker100_CO_linker21_NH_qtz_relaxed_interp_2,0.800681,47932.78640955936,320.463728257971,11.95978,0.57331,218.2172,2.4766197609,23.5899179648,0.2677298443,148.9430692171,2.4766197609,16.1011816862,0.2677298443,11.92936,0.474953,35.7362,0.6752497612,3.8631878072,0.0729964754,30.2587298709,0.6752497612,3.2710572557,0.0729964754,6390.51,141.449173008, linker100_CO, linker21_NH, qtz,33.9044,33.9045,48.1492,89.998,89.998,120.0, C576H504N48O72,576,0,504,48,72,0,0,1,1,4,20.76741,19.94536,20.7674,169.14989766580865,27.700724658167324
2226,3, amide, linker100_CO_linker22_NH_qtz_relaxed,0.933117,48072.4019914306,155.161820422451,8.36478,0.42425,162.1774,1.8578760346,36.1042770572,0.4136043067,81.2098849474,1.8578760346,18.0791169788,0.4136043067,7.27086,0.221338,15.654,0.3170186114,3.4849267102,0.0705753562,9.2519399508,0.3170186114,2.0596865118,0.0705753562,7388.47,113.246972717, linker100_CO, linker22_NH, qtz,33.9397,33.9398,48.189,89.998,89.998,120.0, C240H144N36O60,240,0,144,36,60,0,0,1,1,4,22.13922,21.75823,22.13922,125.34584641826486,12.098873701406141
3042,3, amide, linker100_CO_linker22_NH_qtz_relaxed_interp_2,0.862069,48072.4019914306,310.323640844903,11.81554,0.422594,244.2482,1.567123939,27.1875263863,0.174438229,169.4455924665,1.5671239389,18.8611687465,0.174438229,12.05628,0.45897,40.4812,1.0081503063,4.5060053386,0.1122182806,34.5665960387,1.0081503063,3.8476444939,0.1122182806,6592.01,157.490174877, linker100_CO, linker22_NH, qtz,33.9397,33.9398,48.189,89.998,89.998,120.0, C480H288N72O120,480,0,288,72,120,0,0,1,1,4,21.93937,21.65996,21.93937,188.77782826176792,31.287653384512428
2227,3, amide, linker100_CO_linker23_NH_qtz_relaxed,0.933772,28867.277843309967,144.725175374668,7.72164,0.216903,86.7672,0.8042610521,34.4869410509,0.3196657665,38.1124141209,0.8042610521,15.1483576639,0.3196657665,6.90871,0.166909,8.3726,0.224358998,3.3278169935,0.0891748903,4.5254909381,0.224358998,1.7987250851,0.0891748903,7101.94,100.901065574, linker100_CO, linker23_NH, qtz,30.8221,30.8221,35.0874,90.0,90.0,120.0, C120H66N24O42,120,0,66,24,42,0,0,1,1,4,20.125,18.35546,20.125,111.67737238086708,10.776306806972618
3043,3, amide, linker100_CO_linker23_NH_qtz_relaxed_interp_2,0.860793,28867.277843309967,289.450350749335,10.28213,0.524462,121.639,2.5395303503,24.1736337146,0.5046874481,76.7868314822,2.5395303503,15.2600460244,0.5046874481,10.50284,0.451047,17.0444,0.751996383,3.387277785,0.1494461901,13.4979619501,0.751996383,2.6824849602,0.1494461901,5782.48,134.622876999, linker100_CO, linker23_NH, qtz,30.8221,30.8221,35.0874,90.0,90.0,120.0, C240H132N48O84,240,0,132,48,84,0,0,1,1,4,19.29415,16.14724,19.29415,156.5605885520314,21.937711552588414
2228,3, amide, linker100_CO_linker24_NH_qtz_relaxed,0.923279,48050.132438423774,173.894290668862,8.50556,0.230201,163.334,1.1216009986,32.4597891231,0.2228986732,83.2572510224,1.1216009986,16.5459292686,0.2228986732,7.63367,0.378572,15.9372,0.5119053037,3.1672410595,0.1017322677,9.6055723692,0.5119053037,1.9089402911,0.1017322677,7099.11,113.9748167, linker100_CO, linker24_NH, qtz,33.9305,33.9306,48.1928,89.998,89.998,120.0, C240H132N48O84,240,0,132,48,84,0,0,1,1,4,21.82091,20.52435,21.82091,126.29828266856964,12.323465968777931
3044,3, amide, linker100_CO_linker24_NH_qtz_relaxed_interp_2,0.838597,48050.132438423774,347.788581337725,11.84178,0.621608,235.7064,2.0676326946,23.4212718692,0.205453002,162.9741907086,2.0676326947,16.1941416451,0.205453002,11.96381,0.508161,39.8156,1.7406783046,3.9563286879,0.1729647553,34.0647013699,1.7406783046,3.3848831934,0.1729647553,5924.56,151.472881522, linker100_CO, linker24_NH, qtz,33.9305,33.9306,48.1928,89.998,89.998,120.0, C480H264N96O168,480,0,264,96,168,0,0,1,1,4,21.2667,20.48105,21.26668,182.26035934956465,30.787477827363425
4604,3, amide, linker100_CO_linker26_NH_cds_relaxed,0.895648,57238.44169789247,236.41287171303,9.04193,0.385274,214.179,1.0611744437,26.2825182706,0.1302197541,121.6444220573,1.0611744437,14.9273352907,0.1302197541,8.41656,0.22839,21.691,0.9750495372,2.6617647099,0.1196511202,14.3743381976,0.9750495372,1.763916193,0.1196511202,6253.1,124.948571351, linker100_CO, linker26_NH, cds,38.5386,38.5386,38.5386,90.0,90.0,90.0, C320H144N96O176,320,0,144,96,176,0,0,1,2,3,17.3719,14.11907,16.73384,139.0287190026671,14.080147651523149
4612,3, amide, linker100_CO_linker26_NH_cds_relaxed_interp_2,0.781557,57238.44169789247,472.825743426069,14.04135,0.307816,312.8074,2.7894362441,19.1927458006,0.1711498537,232.0602235053,2.7894362441,14.2383871998,0.1711498537,12.18863,0.206922,56.3388,2.1644551832,3.4567477212,0.1328032461,49.954162008,2.1644551832,3.0650091178,0.1328032461,5256.54,166.479911299, linker100_CO, linker26_NH, cds,38.5386,38.5386,38.5386,90.0,90.0,90.0, C640H288N192O352,640,0,288,192,352,0,0,1,2,3,10.47802,7.74126,10.43144,203.0507758296612,36.570864530239895
4605,3, amide, linker100_CO_linker26_NH_qzd_relaxed,0.883182,74712.03320995887,271.681223079885,10.00107,0.2812,312.2662,4.0293039399,25.5460529332,0.3296316147,193.164036393,4.0293039399,15.8024746146,0.3296316147,8.38536,0.331331,30.5274,0.3288783362,2.4974031013,0.0269050681,21.1100527724,0.3288783362,1.7269833416,0.0269050681,6089.17,140.110776985, linker100_CO, linker26_NH, qzd,38.6002,38.6002,57.9003,90.0,90.0,120.0, C480H216N144O264,480,0,216,144,264,0,0,1,2,4,13.45407,12.13614,13.45198,155.29227748539975,15.181500500844564
4617,3, amide, linker100_CO_linker27_NH_qzd_relaxed,0.905408,74565.15794711848,213.982845770118,9.64669,0.24864,312.4882,2.7390960261,32.5212874382,0.2850633374,190.6287661866,2.7390960261,19.8391264027,0.2850633374,8.12967,0.238189,29.5318,1.2322541296,3.0734349533,0.1282432129,19.8964368259,1.2322541296,2.0706629595,0.1282432129,7178.67,140.993475372, linker100_CO, linker27_NH, qzd,38.5749,38.5749,57.8623,90.0,90.0,120.0, C528H336N72O120,528,0,336,72,120,0,0,1,2,4,15.32383,12.06358,14.70495,155.7087852781202,14.715309906444055
4645,3, amide, linker100_CO_linker28_NH_und_relaxed,0.949859,176891.28130469922,112.445736538358,7.48651,0.403948,502.2312,3.0175164357,41.927915954,0.2519122179,198.9507218585,3.0175164357,16.6090620118,0.2519122179,6.45113,0.246015,45.5174,1.0554503115,3.7999425795,0.0881124708,21.5371675382,1.0554503115,1.7979937336,0.0881124708,7492.82,95.9297125343, linker100_CO, linker28_NH, und,78.343,78.343,28.8208,90.0,90.0,90.0, C640H384N96O160,640,0,384,96,160,0,0,1,2,9,33.25152,29.32966,33.05185,105.49034130720496,9.560628772940317
4660,3, amide, linker100_CO_linker28_NH_und_relaxed_interp_2,0.897189,176891.28130469922,224.891473076714,9.83473,0.342228,730.174,3.0356937922,30.4786661042,0.1267148618,443.7105260493,3.0356937922,18.5212086028,0.1267148618,9.0624,0.295131,81.4452,2.1010753056,3.3996568716,0.0877023459,58.7946794678,2.1010753056,2.454186816,0.0877023459,6989.52,136.261193108, linker100_CO, linker28_NH, und,78.343,78.343,28.8208,90.0,90.0,90.0, C1280H768N192O320,1280,0,768,192,320,0,0,1,2,9,19.97274,17.04618,19.56141,153.36821860871106,17.107025500906225
2229,3, amide, linker100_CO_linker29_NH_qtz_relaxed,0.927554,29112.24279488037,153.784460175721,7.90118,0.381434,88.556,1.9357665148,32.8457273174,0.7179825093,39.8150765035,1.9357665148,14.7675498663,0.7179825093,7.10536,0.178038,8.6784,0.3970825607,3.2188486376,0.147279298,4.8244800807,0.3970825607,1.7894163826,0.147279298,6616.66,101.944729866, linker100_CO, linker29_NH, qtz,30.9119,30.9118,35.1799,90.0,90.0,120.0, C120H78N36O42,120,0,78,36,42,0,0,1,1,4,21.16669,19.47287,20.31127,113.02064030471664,11.075910438822769
3045,3, amide, linker100_CO_linker29_NH_qtz_relaxed_interp_2,0.852975,29112.24279488037,307.568920351443,10.91811,0.31993,128.5208,2.6025997464,23.8344050737,0.482656633,83.6988389935,2.6025997464,15.5220947331,0.482656633,10.37938,0.771408,17.8156,0.5627142792,3.3039338927,0.1043563382,14.2715504426,0.5627142792,2.6466837608,0.1043563382,5814.13,141.288818251, linker100_CO, linker29_NH, qtz,30.9119,30.9118,35.1799,90.0,90.0,120.0, C240H156N72O84,240,0,156,72,84,0,0,1,1,4,19.59268,18.87271,19.59268,164.0261880445279,22.73736979358013
4694,3, amide, linker100_CO_linker30_NH_und_relaxed,0.956893,174302.0843676714,101.000684684934,7.13542,0.144481,483.3996,4.3363598743,45.5961734226,0.4090227151,182.3452931997,4.3363598744,17.1995334947,0.4090227151,6.16366,0.4513,42.6846,1.2122861708,4.0261812878,0.1143476546,18.8803897688,1.2122861708,1.7808734765,0.1143476546,7650.17,93.9443547937, linker100_CO, linker30_NH, und,77.959,77.959,28.6794,90.0,90.0,90.0, C576H352N128O96,576,0,352,128,96,0,0,1,2,9,32.72878,30.26148,32.72878,103.04315380574803,9.098799012001459
4720,3, amide, linker100_CO_linker30_NH_und_relaxed_interp_2,0.911807,174302.0843676714,202.001369369867,9.44535,0.29196,693.909,4.2007997334,32.7261287592,0.1981180716,407.0394917889,4.2007997334,19.196792113,0.1981180716,8.9097,0.583125,76.6624,1.9073317907,3.6155512803,0.0899535613,53.9797745463,1.9073317907,2.5457935438,0.0899535613,7039.69,131.574449668, linker100_CO, linker30_NH, und,77.959,77.959,28.6794,90.0,90.0,90.0, C1152H704N256O192,1152,0,704,256,192,0,0,1,2,9,21.87078,19.54407,21.70529,147.91607567355607,16.341626005127
4721,3, amide, linker100_CO_linker30_NH_und_relaxed_interp_3,0.860651,174302.0843676714,303.002054054795,11.33125,0.175292,866.4456,5.3648599758,27.2421986826,0.1686783121,595.6706124079,5.3648599758,18.7286739901,0.1686783121,10.88211,0.484609,125.0214,3.2576827593,3.9308386105,0.1024258661,103.611360069,3.2576827593,3.2576785626,0.1024258661,6263.33,158.044582321, linker100_CO, linker30_NH, und,77.959,77.959,28.6794,90.0,90.0,90.0, C1728H1056N384O288,1728,0,1056,384,288,0,0,1,2,9,19.09194,10.05331,19.09194,184.6945823396532,26.65000001907299
4746,3, amide, linker100_CO_linker31_NH_cds_relaxed,0.920012,57388.431590848326,166.36887268557,8.64899,0.368888,202.8054,2.6321150735,35.2721630596,0.4577806708,107.5045587957,2.6321150735,18.6973242699,0.4577806708,7.30135,0.365609,19.1882,0.9532440611,3.337235198,0.1657893723,11.6528111748,0.9532440611,2.0266711629,0.1657893723,7577.67,118.87880783, linker100_CO, linker31_NH, cds,38.5722,38.5722,38.5723,90.0,90.0,90.0, C320H240N64O48,320,0,240,64,48,0,0,1,2,3,19.81608,14.44607,18.77237,131.30177441666476,12.422966587071532
4762,3, amide, linker100_CO_linker31_NH_cds_relaxed_interp_2,0.829643,57388.431590848326,332.737745371142,12.74668,0.434677,301.7384,3.2597738817,26.2393556734,0.283471929,215.7985689986,3.2597738817,18.7659754468,0.283471929,10.87268,0.36295,42.042,1.8510969721,3.6559980142,0.160972524,35.2467814691,1.8510969721,3.0650816578,0.160972524,6624.8,168.134567077, linker100_CO, linker31_NH, cds,38.5722,38.5722,38.5723,90.0,90.0,90.0, C640H480N128O96,640,0,480,128,96,0,0,1,2,3,13.17189,9.01072,12.62641,195.35371015641311,27.219143079891932
2230,3, amide, linker100_CO_linker31_NH_qtz_relaxed,0.93694,29084.481450269766,123.10235810746,7.56022,0.262514,83.6038,1.5689810196,38.7746002293,0.7276775913,34.4166123592,1.5689810196,15.962078105,0.7276775913,6.57815,0.28688,8.0454,0.2225761892,3.731375472,0.1032285944,4.1561942028,0.2225761892,1.9276010024,0.1032285944,7671.38,96.5243451994, linker100_CO, linker31_NH, qtz,30.9015,30.9015,35.1699,90.0,90.0,120.0, C120H90N24O18,120,0,90,24,18,0,0,1,1,4,23.03483,21.64026,23.03483,106.80218283054248,10.277837631161576
3046,3, amide, linker100_CO_linker31_NH_qtz_relaxed_interp_2,0.870846,29084.481450269766,246.20471621492,10.61596,0.12018,126.41,1.9719079086,29.3138422834,0.4572755117,80.6925948212,1.9719079086,18.7122062972,0.4572755117,9.57515,0.528564,14.7374,0.5846648271,3.4175288289,0.1355808285,11.1225481294,0.5846648271,2.5792628879,0.1355808285,7032.43,142.659513591, linker100_CO, linker31_NH, qtz,30.9015,30.9015,35.1699,90.0,90.0,120.0, C240H180N48O36,240,0,180,48,36,0,0,1,1,4,21.78212,21.08278,21.77648,161.48624741469803,18.82673382339689
2231,3, amide, linker100_CO_linker32_NH_qtz_relaxed,0.940974,29112.570081345995,123.659875563494,7.58376,0.291823,84.6632,2.2782278727,39.0511956862,1.0508405361,35.2165291226,2.2782278727,16.2437466355,1.0508405361,6.48486,0.241601,7.9154,0.1754427542,3.651005801,0.080923581,4.0056769958,0.1754427542,1.8476324568,0.080923581,7504.44,97.9491845053, linker100_CO, linker32_NH, qtz,30.9116,30.9116,35.1809,90.0,90.0,120.0, C108H78N36O18,108,0,78,36,18,0,0,1,1,4,22.27773,21.2699,22.10961,108.05119361860844,10.10200911328104
