,dimensions, bond type, name, void fraction [widom], supercell volume [A^3], density [kg/m^3], heat desorption high P [kJ/mol], heat desorption error high P [kJ/mol], absolute methane uptake high P [molec/unit cell], absolute methane uptake error high P [molec/unit cell], absolute methane uptake high P [mol/kg], absolute methane uptake error high P [mol/kg], excess methane uptake high P [molec/unit cell], excess methane uptake error high P [molec/unit cell], excess methane uptake high P [mol/kg], excess methane uptake error high P [mol/kg], heat desorption low P [kJ/mol], heat desorption error low P [kJ/mol], absolute methane uptake low P [molec/unit cell], absolute methane uptake error low P [molec/unit cell], absolute methane uptake low P [mol/kg], absolute methane uptake error low P [mol/kg], excess methane uptake low P [molec/unit cell], excess methane uptake error low P [molec/unit cell], excess methane uptake low P [mol/kg], excess methane uptake error low P [mol/kg], surface area [m^2/g], deliverable capacity [v STP/v], linkerA, linkerB, net, cell_a [A], cell_b [A], cell_c [A], alpha [deg], beta [deg], gamma [deg], chemical formula, num carbon, num fluorine, num hydrogen, num nitrogen, num oxygen, num sulfur, num silicon, vertices, edges, genus, largest included sphere diameter [A], largest free sphere diameter [A], largest included sphere along free sphere path diameter [A], absolute methane uptake high P [v STP/v], absolute methane uptake low P [v STP/v]
956,3, amide, linker102_NH_linker78_CO_dia_relaxed,0.890289,44850.96056123039,215.835354098143,9.3049,0.368363,171.651,2.2059160455,29.444285061,0.3783934895,99.576499307,2.2059160455,17.0809306732,0.3783934895,8.94802,0.208787,18.4788,0.6531834658,3.1697750365,0.1120443234,12.7799060528,0.6531834658,2.1922109214,0.1120443234,6664.45,126.888901576, linker102_NH, linker78_CO, dia,31.5485,31.5485,45.0624,90.0,90.0,90.0, C328H224N64O48,328,0,224,64,48,0,0,1,1,3,17.8203,15.10629,17.24644,142.19686630082396,15.307964725076328
1204,3, amide, linker102_NH_linker78_CO_dia_relaxed_interp_2,0.770075,44850.96056123039,431.670708196292,14.95381,0.713404,250.0364,0.7885658882,21.4450921848,0.0676336252,187.6939795937,0.7885658882,16.0981148942,0.0676336252,12.15591,0.592042,44.2662,0.5649940177,3.7966181711,0.0484583396,39.336816669,0.5649940177,3.3738354085,0.0484583396,5733.14,170.461445713, linker102_NH, linker78_CO, dia,31.5485,31.5485,45.0624,90.0,90.0,90.0, C656H448N128O96,656,0,448,128,96,0,0,1,1,3,10.0582,8.37149,9.78377,207.13186955589995,36.67042384304765
2405,3, amide, linker102_NH_linker78_CO_qtz_relaxed,0.832236,44473.05967868051,326.504057433303,11.90083,0.54222,215.7982,1.4787656474,24.6780724317,0.1691074613,148.99113482,1.4787656474,17.0382052157,0.1691074613,9.78502,0.333173,25.759,0.5054977745,2.94572646,0.0578072972,20.4765994877,0.5054977745,2.3416460624,0.0578072972,6116.25,158.767505244, linker102_NH, linker78_CO, qtz,38.9376,38.9376,33.871,90.0,90.0,120.0, C492H336N96O72,492,0,336,96,72,0,0,1,1,4,12.64627,9.27848,12.59409,180.28776089373343,21.52025564997661
3775,3, amide, linker102_NH_linker78_CO_sod_relaxed,0.889692,69806.44940463298,208.012791875343,9.24855,0.299472,253.0012,2.1093124567,28.9325023976,0.2412150129,140.8990038843,2.1093124567,16.1128119855,0.2412150129,8.50534,0.500803,26.7322,0.3523189464,3.0570188623,0.0402901993,17.8683366257,0.3523189464,2.043372491,0.0402901993,6580.18,120.432844768, linker102_NH, linker78_CO, sod,41.173,41.1753,41.1762,89.9988,90.0001,90.0012, C492H336N96O72,492,0,336,96,72,0,0,1,1,7,31.06104,13.98091,31.06104,134.66119638831643,14.228351620671292
957,3, amide, linker102_NH_linker79_CO_dia_relaxed,0.879259,44974.664616842754,221.171534122712,9.69416,0.49864,173.083,1.698539608,28.8939062199,0.2835486105,101.7051204362,1.698539608,16.978317986,0.2835486105,8.80337,0.399206,18.3798,0.6958326236,3.0682633045,0.1161600075,12.7359875296,0.6958326236,2.1261038305,0.1161600075,6640.11,127.804692589, linker102_NH, linker79_CO, dia,31.5773,31.5773,45.1043,90.0,90.0,90.0, C360H256N64O32,360,0,256,64,32,0,0,1,1,3,17.50723,15.45657,17.50723,142.98876563258483,15.184073043195792
1205,3, amide, linker102_NH_linker79_CO_dia_relaxed_interp_2,0.746021,44974.664616842754,442.343068245429,15.18603,0.296488,246.898,2.9440399454,20.6081696581,0.2457341683,186.3363258061,2.9440399454,15.5531863996,0.2457341683,12.75117,0.401922,46.224,1.531326745,3.8582411938,0.1278173228,41.4354193622,1.531326745,3.4585462502,0.1278173228,5545.75,165.782471731, linker102_NH, linker79_CO, dia,31.5773,31.5773,45.1043,90.0,90.0,90.0, C720H512N128O64,720,0,512,128,64,0,0,1,1,3,9.65807,7.67729,9.32803,203.96942655881844,38.18695482816364
3680,3, amide, linker102_NH_linker79_CO_rhr_relaxed,0.921588,207056.51524645925,144.121747023342,7.91193,0.358467,635.3252,4.7774919613,35.3530324525,0.2658462601,290.892323972,4.7774919613,16.186868976,0.2658462601,8.09365,0.719052,67.381,0.9820232176,3.7494541058,0.054645241,40.1468684619,0.9820232176,2.2339953517,0.054645241,6367.93,101.91361448, linker102_NH, linker79_CO, rhr,59.1602,59.1602,59.1602,90.0,90.0,90.0, C1080H768N192O96,1080,0,768,192,96,0,0,1,1,13,45.81393,22.94852,45.80253,114.00466366585668,12.091049186137548
4234,3, amide, linker102_NH_linker7_CO_crb_relaxed,0.865441,41671.25364322452,229.786825027284,9.79787,0.210872,161.7722,3.6867818813,28.0537685537,0.6393442483,96.6764075563,3.6867818813,16.7651646092,0.6393442483,8.42183,0.169037,16.7686,0.6818159282,2.9079311734,0.1182372883,11.6215089487,0.6818159282,2.0153470268,0.1182372883,6760.19,129.287832608, linker102_NH, linker7_CO, crb,36.2284,36.2284,31.7496,89.9973,90.0,90.0, C376H288N32O32,376,0,288,32,32,0,0,1,2,5,21.33703,12.26844,20.71446,144.23901968136397,14.951187073109827
900,3, amide, linker102_NH_linker7_CO_dia_relaxed,0.886343,46588.02753138792,205.535747636705,9.36344,0.756612,175.9278,2.6596214467,30.5085656457,0.4612189518,101.3936970493,2.6596214467,17.5832146056,0.4612189518,8.63231,0.258692,17.877,0.4909126195,3.1001446505,0.0851317409,11.9836265589,0.4909126195,2.0781437473,0.0851317409,6800.64,126.048537595, linker102_NH, linker7_CO, dia,31.9889,31.9889,45.5277,90.0,90.0,90.0, C376H288N32O32,376,0,288,32,32,0,0,1,1,3,16.8771,15.75683,16.8771,140.3057872043508,14.257249609408158
1170,3, amide, linker102_NH_linker7_CO_dia_relaxed_interp_2,0.760461,46588.02753138792,411.071495273414,14.19975,0.407583,256.94,3.2783488527,22.2786587936,0.2842578637,192.9915303173,3.2783488527,16.7338384603,0.2842578637,12.2694,0.415342,42.1078,0.9933679278,3.6510675985,0.0861325801,37.0514271732,0.9933679278,3.2126414875,0.0861325801,5531.66,171.332790712, linker102_NH, linker7_CO, dia,31.9889,31.9889,45.5277,90.0,90.0,90.0, C752H576N64O64,752,0,576,64,64,0,0,1,1,3,11.5777,8.99938,11.5777,204.91456702316495,33.58177631114211
